-0.02	-0.09	0.085	0.098	0.062	0.181	0.164	0.108	0.017	-0.11	-0.24	0.079	0	-0.23	0.088	0.08	0.009	-0.03	0.084	0.01	-0.8	-0.13
-0.2	-0.16	-0.11	-0.21	-0.14	-0.16	-0.16	0.139	-0.42	0.082	-0.06	0.01	0	0.198	0	-0.37	-0.2	-0.03	-0.47	0.061	0.344	-0.14
0.151	0.132	0.077	0.357	0.256	0.196	0.37	0.514	0.47	0.179	0.548	0.285	0	0.202	0	0.031	0.243	-0.04	0.216	0.155	-0.08	0.014
-0.38	-0.38	-0.48	-0.18	-0.18	-0.18	-0.18	0.03	0.042	-0.33	-0.06	-0.07	-0.03	-0.35	-0.25	-0.28	-0.39	-0.36	-0.27	-0.21	0.098	-0.13
0.047	0.061	-0.12	0.04	0.127	-0.08	-0.11	0.321	0.134	-0.6	-1.2	-1.52	-1.68	-1.73	0.274	0.355	0.427	0.142	0.209	0.347	-1.57	-0.69
0.053	0.057	0.32	0.257	0.351	0.178	0.125	0.529	0.209	0.174	-0.04	-0.07	0	0	0.417	0	0.245	0.274	0.114	0.316	-0.79	-0.17
0.127	0.238	0.072	0.102	0.15	0.197	0.236	0.229	0.273	-0.1	-0.16	0.122	0	0.345	0	0.126	0.146	0.163	0	0.099	0	0.258
0.373	0.448	0.306	0.337	0.377	0.348	0.321	0.587	0.309	0.309	0.282	0.363	0	0.469	0.387	0.255	0.337	0.423	0.118	0.155	-0.05	0.348
0.029	0.035	0.024	0.185	0.157	-0.04	0.114	0.053	0.11	-0.06	0.11	-0.06	0	-0.16	0	-0.29	-0.09	-0.06	-0.16	-0.1	-0.67	-0.04
0.09	0.054	0.096	0.025	0.103	-0.02	0.018	0.243	-0.12	0.17	-0.11	0.115	0	0.083	0	0	0.006	0.298	-0.11	0	-0.71	0.239
0.006	-0.06	-0.21	-0.09	-0.02	-0.03	0	0.314	0.387	0.855	0.928	0.253	0.156	-0.28	0	0.172	0.084	0.089	-0.15	-0.1	-0.01	0.035
-0.19	-0.21	-0.16	-0.54	-0.56	-0.33	-0.36	-0.28	-0.4	0.471	0.883	0.127	0	0.292	-0.17	-0.41	-0.27	0.11	-0.9	-0.58	-0.01	0.123
0.031	0.069	0.158	0.174	0.212	0.093	0.167	0.065	0.149	0.418	0.489	0.195	0	0.406	0	0.11	0.285	0.303	0.001	0.151	-0.31	0.207
-0.61	-0.63	-0.44	-0.47	-0.43	-0.28	-0.29	-0.3	-0.3	-0.3	-0.35	-0.1	0.016	-0.4	-0.15	-0.45	-0.35	-0.47	-0.24	-0.4	-0.77	-0.54
-0.15	-0.13	0.072	-0.19	-0.15	0.251	0.236	0.08	-0.01	-0.34	-0.44	0.006	0	-0.19	0	-0.05	-0.08	-0.35	0.005	-0.16	-0.14	-0.55
-0.21	-0.24	0.017	0.081	0.116	0.276	0.058	0.398	0	-0.01	-0.34	0.091	0	0.074	0	0.147	0	0.025	0.273	0.028	-0.44	-0.19
0.112	0.142	0.125	0.082	0.165	0.221	0.076	0.501	0.083	-1.06	-0.51	0.362	0	-0.03	0	0	0.152	0.2	0	0.192	0.308	-0.04
0.397	0.42	-0.47	0.228	0.182	0	0.163	0.147	0.244	-0.85	-1.39	-0.07	-0.23	-0.67	0.417	0.194	0.254	0.158	0.194	0.246	-0.46	-0.18
0.089	0.198	-0.52	0.006	0.095	0.339	0.305	-0.22	-0.09	-1	-1.14	-0.44	-0.48	-0.74	0	-0.07	-0.19	-0.23	-0.01	-0.14	-0.6	-0.5
-0.4	-0.37	-0.2	-0.44	-0.4	0	-0.48	-0.4	-0.47	-0.91	-1.34	-0.76	-0.9	-0.88	0.091	-0.05	-0.1	0.066	-0.23	-0.13	-1.06	-0.49
0.099	0.134	-0.05	0.072	0.138	0.1	0.19	0.191	0.19	-0.5	-0.55	-0.15	-0.12	-0.49	0.196	0.236	0.262	0.292	0.326	0.369	-0.1	0.104
0.176	0.212	0.095	-0.02	0.094	-0.1	0.037	-0.05	-0.26	-1.14	-1.41	-0.69	-0.71	-1.1	0.377	0.033	0.099	0.052	0.059	0.04	-0.61	-0.28
0.3	0.308	0.511	0.285	0.343	0.046	-0.03	-0.09	0.017	-0.67	-1.36	-0.96	-1	-0.69	0	0.38	0.364	0.415	0.158	0.332	-0.07	-0.09
0.436	0.457	0.155	0.347	0.359	0.214	0.132	0.229	-0.03	-0.12	-0.51	-0.11	-0.23	-0.45	0.586	-0.02	0.156	0.068	0.339	0.229	-0.26	-0.02
0.14	0.089	-0.1	0.028	0.099	-0.01	-0.07	0.273	0.362	-0.39	-0.62	-0.5	-0.38	-0.45	0.385	0.409	0.204	-0.02	0.179	0.152	-0.53	-0.34
