0.525	0.477	0	0.474	0.552	0.843	-0.1	0.13	0.499	0.381	0.227	0.72	0.482	-0.45	-0.47	-0.2	-0.16	0.07	0.366
0.136	0.163	0.078	0.086	0.051	0.233	0.718	-0.01	0.2	0.211	0.047	-0.08	-0.16	0.267	0.22	-0.02	-0.64	0.095	0.121
-0.2	-0.1	-0.08	-0.17	-0.05	-0.18	-0.47	-0.29	-0.38	-0.45	-0.41	-0.4	-0.43	-0.07	-0.17	-0.02	-0.01	-0.2	-0.01
0.382	0.367	0.343	0.133	0.265	0.271	0.097	0.018	0.061	0.261	0.077	-0.06	-0.16	-0.08	-0.54	0.193	0.187	0.319	0.401
-0.27	-0.19	-0.15	-0.12	-0.15	-0.25	-0.09	-0.01	-0.82	-0.71	0.222	-0.53	-0.34	0.264	0.265	-0.09	-0.07	-0.11	0.002
0.079	0.086	-0.05	-0.03	-0.05	0.122	0.004	0.061	-0.02	0.204	0.139	0.231	0.214	0.031	0.16	-0.09	-0.07	0.158	0.062
-0.17	-0.12	-0.29	-0.67	-0.79	-0.02	-0.33	-0.4	0.027	0.045	-0.34	0.12	0.041	-0.13	-0.19	-0.14	-0.12	-0.35	-0.24
0.977	0.98	1.351	1.365	1.46	1.107	0.808	0.92	0.821	0.934	1.007	1.058	0.956	0.797	0.743	0.553	0.588	0.879	0.741
0.111	0.171	0	0.153	0.298	0.194	-0.08	0.036	0.099	0.038	0.065	0.143	0.178	-0.03	0.081	-0.34	-0.33	0.124	0.088
-0.02	0.082	0	0.108	0.356	-0.03	0.072	0.045	-0.11	-0.26	-0.02	-0.18	-0.15	-0.04	0.014	0	0.216	-0.01	-0.03
-0.04	-0.09	0	0.047	-0.03	-0.2	-0.22	-0.14	0.215	0.23	-0.03	0.312	0.33	-0.1	-0.07	-0.27	-0.27	-0.03	-0.05
0.445	0.422	0	0.35	0.454	0.211	-0.75	-0.24	-0.01	0.146	-0.07	0.148	-0.02	-0.04	0.036	-0.26	-0.12	-0.01	0
0.05	0.026	-0.22	0	0.386	-0.35	-0.04	0	0.107	0.159	-0.06	0.452	0.433	-0.12	-0.12	-0.28	-0.38	-0.16	0.041
0.311	0.546	0.296	0.14	0.231	0.373	-0.3	0.9	-0.13	-0.09	-0.26	-0.03	-0.15	-0.81	-0.37	-0.32	-0.43	0.017	0.484
0.271	0.222	0.207	0.318	0.287	-0.05	0.158	0.118	0.264	0.28	0.19	-0.08	0.072	0.068	0.02	0.174	0.258	0.361	0.427
-0.47	-0.21	0.257	-0.09	-0.05	-0.26	0.116	-0.1	-0.06	0.072	-0.04	-0.14	-0.09	-0.12	-0.1	-0.02	-0.07	0.097	0.171
