0.003	-0.12	0.206	-0.02	0.175	0.881	0.888	0.466	0.401	0.102	-0.06	-0.13	-0.05	-0.48	0	0.061	-0.35	-0.12
-0.02	0.172	-0.08	-0.07	-0.06	1.128	0.178	0.059	-0.32	-0.08	-0.07	-0.16	-0.07	0	-0.18	-0.27	-0.43	1.018
0.059	-0.09	-0.48	-0.05	0.15	-0.8	-0.74	-0.29	-0.66	-0.1	-0.11	0.111	0.084	-0.49	-0.46	-0.13	-0.14	0.054
-0.85	-0.51	-0.59	-0.75	-0.18	-1.06	-0.97	-1.06	-0.89	-0.31	-0.37	-0.15	-0.1	0.741	-0.71	-0.26	0.015	-0.15
0.122	0.043	0.313	0.096	0.012	0.676	0.592	0.515	0.547	0.064	0.183	-0.01	0.029	-1.23	-0.31	0.075	-0.04	0.031
0.335	0.432	0.609	1.131	0.282	1.911	1.652	1.18	1.555	0.542	0.489	0.066	0.088	0.656	0.689	0.885	0.689	0.646
0.315	0.466	0.705	0.484	0.378	0.825	0.844	0.888	0.708	0.076	0.139	0.08	0	0.162	0.349	0.661	0.042	0.095
-0.18	0.087	-0.39	0.016	-0.07	0.382	0.262	0.225	0.432	0.133	0.098	-0.12	-0.16	0.331	0.364	0.212	0.125	-0.01
-0.1	-0.09	-0.21	-0.16	-0.06	-0.57	-0.49	-0.14	-0.32	-0.12	-0.21	-0.53	0	-0.34	-0.3	-0.45	-0.39	-0.35
-0.02	0.388	-0.51	0.041	-0.07	0.697	0.548	0.46	0.725	0.111	0.118	-0.55	-0.82	-0.11	0	-0.13	0.873	-0.59
0.351	0.227	-0.08	0.131	0.049	0.542	0.667	0.191	0.089	-0.07	-0.01	0.058	0.123	-0.76	-0.68	-0.63	0.141	0.043
0.056	0.264	-0.65	0.232	0.067	-0.62	-0.57	-0.42	0.002	0.161	0.038	-0.43	0	-0.07	-0.29	-0.15	-1.69	0.137
0.294	0.254	0	-0.07	-0.04	-0.42	-0.09	-0.59	-0.43	-0.18	-0.09	-0.41	-0.47	-0.49	0.47	-0.23	-1.2	0.187
-0.13	0.225	0	0.602	-0.12	-1.15	-0.96	-0.81	-0.6	-0.07	-0.24	-0.38	0	0.099	-0.16	-0.32	-0.39	-0.96
0.106	-0.27	0	0.000034	-0.08	-0.67	-0.2	-0.98	-0.75	-0.01	-0.03	-0.54	-0.6	0.411	0.2	-0.41	-1.45	0.006
-0.13	0.051	0	-0.34	-0.2	-0.02	-0.14	-0.68	-0.72	-0.3	-0.53	0.038	-0.37	0.301	0.014	-0.22	0.023	-0.31
-0.09	-0.22	-0.62	-0.46	-0.25	-1.88	-1.2	-0.91	-1.47	-0.39	-0.41	0.025	0.095	-0.39	-0.4	-0.14	-0.85	0.275
-0.01	0.092	0.382	-0.16	-0.03	-0.61	-0.82	-0.84	-0.67	-0.17	-0.26	-0.18	-0.15	-0.06	0.003	-0.11	-0.08	-0.38
-0.1	-0.05	-0.37	-0.46	-0.01	-1.23	-1.27	-0.43	-0.4	-0.11	-0.17	-0.04	-0.04	-0.07	0.039	-0.48	-0.46	-0.51
0.026	0	0.469	0.733	0.453	-0.53	-0.66	-0.17	-0.08	1.179	1.125	0.139	-0.05	-0.69	-0.8	0.161	-0.83	-1.11
-1.18	-1.49	-0.73	-0.97	-0.63	-2.15	-1.77	-0.93	-1.63	-0.91	-0.73	0.028	-0.05	-0.46	-0.32	-0.35	-2.33	-0.98
0	-0.24	-0.44	-1.02	-0.09	-0.44	-1.89	-1.21	0.212	-0.27	-0.35	-0.01	-0.24	0.767	0.752	-0.13	0.542	0.242
-0.07	-0.15	0.165	-0.11	0.107	-0.28	-0.24	0.036	-0.1	-0.05	-0.19	0.186	0.221	0.138	0.254	0.527	-0.07	0.104
0.074	0.048	0.164	0.005	-0.04	-0.77	-0.97	-0.61	-0.52	-0.32	-0.29	-0.02	-0.18	-0.43	-0.4	-0.46	-0.3	-0.31
0.108	-0.41	0.597	-0.14	0.052	1.156	1.074	1.105	1.042	0.337	0.186	0.831	0.246	0.017	0.033	0.153	-0.76	0.512
-0.9	-0.95	0.213	-0.19	-0.06	0.743	0.608	0.973	1.048	1.834	1.834	0.383	0.159	-0.28	-0.2	0.363	-1.02	-0.92
0.059	0.23	1.39	1.796	2.253	4.01	4.196	4.238	4.453	4.306	4.021	0.445	-0.09	-0.52	-0.38	1.261	1.176	1.184
-0.32	-0.41	0.267	-0.24	-0.03	0.473	0.391	0.082	0.279	0.029	-0.01	0.066	-0.09	-0.02	0.002	-0.09	-0.71	-0.92
-1.02	-1.02	-1.2	-1.57	-1.28	-2.59	-2.85	-1.8	-1.88	-1.1	-1.61	-0.17	-0.08	-1	-0.83	-0.95	-1.85	-1.91
-1.23	-0.97	-1.81	-1.61	-0.8	-2.36	-1.66	-1.55	-1.78	-0.58	-0.82	-0.25	-0.33	-0.71	-0.62	-0.99	-0.28	-0.71
-0.21	-0.33	-1.41	-0.31	-0.28	0.401	-0.72	-0.62	-1.09	-0.28	-0.26	-0.5	-0.59	0	0.909	-1.34	-2.68	-2.55
